"";"plant_species";"frugivore_species";"ID";"frugivore_species_old";"frugivore_genus";"frugivore_class";"frugivore_order";"frugivore_family";"frugivore_class_old";"frugivore_order_old";"frugivore_family_old";"plant_species_old";"plant_genus";"plant_class";"plant_order";"plant_family";"plant_family_old";"plant.form";"frug.orig";"plant.origin";"plant.IUCN";"fruit.diameter..mm.";"fruit.length..mm.";"fruit.color";"seed.diameter..mm.";"seed.length..mm.";"frugivore.group";"frugivore.body.mass..g.";"frugivore.mean.gape.size..mm.";"frugivory.score";"frugivore.migration.status";"frugivore.population.trend";"frugivore.IUCN";"Country";"Island";"island.adapted";"specific.location";"habitat";"latitude.centroid";"longitude.centroid";"latitude";"longitude";"geographic";"geographic.lat";"geographic.lon";"precision";"reference";"method";"frugivore_native_status";"frugivore_endemic_status";"frugivore_singleislandendemism";"plant_native_status";"plant_endemic_status";"plant_singleislandendemism"
"728";"Clusia rosea";"Todus angustirostris";805;"Todus angustirostris";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"729";"Clusia rosea";"Dulus dominicus";780;"Dulus dominicus";"Dulus";"Aves";"Passeriformes";"Dulidae";"Aves";"Passeriformes";"Dulidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Llano del Higo, La Cidra, Santiago, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17812";"-70,71094";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"730";"Clusia rosea";"Vireo latimeri";2783;"Vireo latimeri";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Río Abajo State Forest (Arecibo)";"subtropical wet forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"731";"Clusia rosea";"Nesospingus speculiferus";1442;"Nesospingus speculiferus";"Nesospingus";"Aves";"Passeriformes";"Nesospingidae";"Aves";"Passeriformes";"Nesospingidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cialitos, Ciales";"montane secondary forest/ shaded coffee plantation";18,22566835;-66,46639658;"18.241758° N";"66.529399° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"732";"Clusia rosea";"Dulus dominicus";782;"Dulus dominicus";"Dulus";"Aves";"Passeriformes";"Dulidae";"Aves";"Passeriformes";"Dulidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"733";"Clusia rosea";"Melanerpes portoricensis";3022;"Melanerpes portoricensis";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Montaña, Aguadilla";"subtropical moist forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"734";"Clusia rosea";"Margarops fuscatus";1583;"Margarops fuscatus";"Margarops";"Aves";"Passeriformes";"Mimidae";"Aves";"Passeriformes";"Mimidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cordillera, Ciales";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.315516° N";"66.514325° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"735";"Clusia rosea";"Vireo altiloquus";1702;"Vireo altiloquous";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Dominguito, Arecibo";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.406677° N";"66.731855° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"736";"Clusia rosea";"Melanerpes striatus";785;"Melanerpes striatus";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Llano del Higo, La Cidra, Santiago, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17812";"-70,71094";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"737";"Clusia rosea";"Nesoctites micromegas";795;"Nesoctites micromegas";"Nesoctites";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"738";"Clusia rosea";"Nesoctites micromegas";793;"Nesoctites micromegas";"Nesoctites";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Llano del Higo, La Cidra, Santiago, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17812";"-70,71094";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"739";"Clusia rosea";"Coereba flaveola";1573;"Coereba flaveola";"Coereba";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cordillera, Ciales";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.315516° N";"66.514325° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"740";"Clusia rosea";"Setophaga striata";1747;"Setophaga striata";"Setophaga";"Aves";"Passeriformes";"Parulidae";"Aves";"Passeriformes";"Parulidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Montaña, Aguadilla";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.464577° N";"66.113023° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo & Morales 2016";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"741";"Clusia rosea";"Mimus polyglottos";2655;"Mimus polyglottos";"Mimus";"Aves";"Passeriformes";"Mimidae";"Aves";"Passeriformes";"Mimidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Quebradillas (Bo. Cacao)";"subtropical moist forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"No";"No";"Native";"No";"No"
"742";"Clusia rosea";"Phaenicophilus palmarum";796;"Phaenicophilus palmarum";"Phaenicophilus";"Aves";"Passeriformes";"Phaenicophilidae";"Aves";"Passeriformes";"Phaenicophilidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Las Auyamas, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,16933";"-70,65987";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"743";"Clusia rosea";"Coereba flaveola";775;"Coereba flaveola";"Coereba";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Las Auyamas, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,16933";"-70,65987";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Native";"No";"No"
"744";"Clusia rosea";"Phaenicophilus palmarum";797;"Phaenicophilus palmarum";"Phaenicophilus";"Aves";"Passeriformes";"Phaenicophilidae";"Aves";"Passeriformes";"Phaenicophilidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Llano del Higo, La Cidra, Santiago, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17812";"-70,71094";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"745";"Clusia rosea";"Cyanerpes cyaneus";2314;"Cyanerpes cyaneus";"Cyanerpes";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"LC";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"LC";"Cuba";"Cuba";"Cuba";"Reserva de la Biosfera ""Sierra del Rosario"", Pinar del Río";"";21,62469202;-79,03330319;"";"";"GA";19,0740227101688;-70,7529184711968;"";"Mancina et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"746";"Clusia rosea";"Cyanerpes cyaneus";2618;"Cyanerpes cyaneus";"Cyanerpes";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Cuba";"Cuba";"Cuba";"Havana";"subtropical moist forest";21,62469202;-79,03330319;"";"";"GA";19,0740227101688;-70,7529184711968;"";"ebird";"plant-oriented";"Native";"No";"No";"Native";"No";"No"
"747";"Clusia rosea";"Icterus dominicensis portoricensis";1778;"Icterus portoricensis";"Icterus";"Aves";"Passeriformes";"Icteridae";"Aves";"Passeriformes";"Icteridae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Montaña, Aguadilla";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.464577° N";"66.113023° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo & Morales 2016";"animal-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"748";"Clusia rosea";"Vireo altiloquus";814;"Vireo altiloquus";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident/migrant";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Llano del Higo, La Cidra, Santiago, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17812";"-70,71094";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Native";"No";"No"
"749";"Clusia rosea";"Quiscalus niger";801;"Quiscalus niger";"Quiscalus";"Aves";"Passeriformes";"Icteridae";"Aves";"Passeriformes";"Icteridae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Las Auyamas, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,16933";"-70,65987";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"750";"Clusia rosea";"Vireo altiloquus";1574;"Vireo altiloquous";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cordillera, Ciales";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.315516° N";"66.514325° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"751";"Clusia rosea";"Loxigilla portoricensis";2723;"Melopyrrha portoricensis";"Loxigilla";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Maricao State Forest (Maricao)";"subtropical wet forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"752";"Clusia rosea";"Corvus leucognaphalus";2587;"Corvus leucognaphalus";"Corvus";"Aves";"Passeriformes";"Corvidae";"Aves";"Passeriformes";"Corvidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Cuba";"Cuba";"Cuba";"Salto del Guayabo, Holguin";"subtropical moist forest";21,62469202;-79,03330319;"";"";"GA";19,0740227101688;-70,7529184711968;"";"ebird";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"753";"Clusia rosea";"Tiaris olivaceus";802;"Tiaris olivaceus";"Tiaris";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Las Auyamas, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,16933";"-70,65987";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"No";"No";"Native";"No";"No"
"754";"Clusia rosea";"Phaenicophilus palmarum";800;"Phaenicophilus palmarum";"Phaenicophilus";"Aves";"Passeriformes";"Phaenicophilidae";"Aves";"Passeriformes";"Phaenicophilidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Vera del Yaque, Las Guázaras, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,08943";"-70,68957";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"755";"Clusia rosea";"Turdus plumbeus";1794;"Turdus plumbeus";"Turdus";"Aves";"Passeriformes";"Turdidae";"Aves";"Passeriformes";"Turdidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Montaña, Aguadilla";"moist limestone (karst) forest";18,22566835;-66,46639658;"18.464577° N";"66.113023° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo & Morales 2016";"animal-oriented";"Native";"Yes";"No";"Native";"No";"No"
"756";"Clusia rosea";"Nesospingus speculiferus";2861;"Nesospingus speculiferus";"Nesospingus";"Aves";"Passeriformes";"Nesospingidae";"Aves";"Passeriformes";"Nesospingidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Maricao State Forest (Maricao)";"subtropical wet forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"757";"Clusia rosea";"Icterus dominicensis portoricensis";2797;"Icterus portoricensis";"Icterus";"Aves";"Passeriformes";"Icteridae";"Aves";"Passeriformes";"Icteridae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Bo. Cacao (Quebradillas)";"subtropical moist forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"758";"Clusia rosea";"Loxigilla portoricensis";1422;"Loxigilla portoricensis";"Loxigilla";"Aves";"Passeriformes";"Thraupidae";"Aves";"Passeriformes";"Thraupidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cialitos, Ciales";"montane secondary forest/ shaded coffee plantation";18,22566835;-66,46639658;"18.241758° N";"66.529399° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"Yes";"No";"Native";"No";"No"
"759";"Clusia rosea";"Todus subulatus";807;"Todus subulatus";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Mata de Plátano, Jarabacoa, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,12159";"-70,58378";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"760";"Clusia rosea";"Melanerpes portoricensis";3023;"Melanerpes portoricensis";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Bo. Cacao (Quebradillas)";"subtropical moist forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"761";"Clusia rosea";"Tyrannus dominicensis";1411;"Tyrannus dominicensis";"Tyrannus";"Aves";"Passeriformes";"Tyrannidae";"Aves";"Passeriformes";"Tyrannidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cialitos, Ciales";"montane secondary forest/ shaded coffee plantation";18,22566835;-66,46639658;"18.241758° N";"66.529399° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"762";"Clusia rosea";"Vireo altiloquus";2303;"Vireo altiloquus";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"LC";"";NA;"red";NA;NA;"birds";"";"";NA;"migrant";"";"LC";"Cuba";"Cuba";"Cuba";"Reserva de la Biosfera ""Sierra del Rosario"", Pinar del Río";"";21,62469202;-79,03330319;"";"";"GA";19,0740227101688;-70,7529184711968;"";"Mancina et al. 2003";"animal-oriented";"Native";"No";"No";"Native";"No";"No"
"763";"Clusia rosea";"Todus subulatus";806;"Todus subulatus";"Todus";"Aves";"Coraciiformes";"Todidae";"Aves";"Coraciiformes";"Todidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Las Auyamas, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,16933";"-70,65987";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"764";"Clusia rosea";"Melanerpes striatus";787;"Melanerpes striatus";"Melanerpes";"Aves";"Piciformes";"Picidae";"Aves";"Piciformes";"Picidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Piedra Blanca, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,17739";"-70,64559";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
"765";"Clusia rosea";"Icterus dominicensis portoricensis";1390;"Icterus portoricensis";"Icterus";"Aves";"Passeriformes";"Icteridae";"Aves";"Passeriformes";"Icteridae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Barrio Cialitos, Ciales";"montane secondary forest/ shaded coffee plantation";18,22566835;-66,46639658;"18.241758° N";"66.529399° W";"GA";19,0740227101688;-70,7529184711968;"precise";"Carlo, T. A., 1999 / Carlo et al. 2003";"animal-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"766";"Clusia rosea";"Vireo latimeri";2782;"Vireo latimeri";"Vireo";"Aves";"Passeriformes";"Vireonidae";"Aves";"Passeriformes";"Vireonidae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"";"";"";"";"";"";NA;"";NA;NA;"";"";"";NA;"";"";"";"Puerto Rico";"Puerto Rico";"Puerto Rico";"Maricao State Forest (Maricao)";"subtropical wet forest";18,22566835;-66,46639658;"";"";"GA";19,0740227101688;-70,7529184711968;"";"personal obs.";"plant-oriented";"Native";"Yes";"Yes";"Native";"No";"No"
"767";"Clusia rosea";"Icterus dominicensis";783;"Icterus dominicensis";"Icterus";"Aves";"Passeriformes";"Icteridae";"Aves";"Passeriformes";"Icteridae";"Clusia rosea";"Clusia";"Magnoliopsida";"Malpighiales";"Clusiaceae";"Clusiaceae";"tree";"native";"native";"";"";NA;"red";NA;NA;"birds";"";"";NA;"resident";"";"";"Dominican Republic";"Hispaniola";"Dominican Republic";"Las Auyamas, Buena Vista, La Vega, Dominican Republic";"lower montane secondary forest & cattle pasture";18,89620449;-70,49627229;"19,16933";"-70,65987";"GA";19,0740227101688;-70,7529184711968;"precise";"Schubert & Walters unpubl.";"plant-oriented";"Native";"Yes";"No";"Native";"No";"No"
